Player,Pos,Min,Squad,Total_Passes_Completed,KP,Passes_into_one-third,xA,Prog,Tkl+Int,TotDist,Clr,SCA,GCA,Sh/90,PrgDist,Succ_Dibb,CrsPA
Juan Mata,"FW,MF",509,Manchester Utd,247,8,18,0.8,19,4,1272,3,18,5,0.71,583,3,1
Dwight Gayle,"FW,MF",514,Newcastle Utd,91,6,0,0.5,3,7,295,0,13,1,2.8,148,1,0
Vitinha,MF,520,Wolves,290,12,21,0.7,12,14,1606,2,21,1,1.56,896,8,0
Naby Keïta,MF,520,Liverpool,311,6,31,0.8,32,19,1452,6,15,1,1.56,837,12,1
Donny van de Beek,"FW,MF",524,Manchester Utd,235,3,11,1,10,19,761,9,12,2,0.34,362,9,1
Robert Snodgrass,"FW,MF",526,West Brom,105,3,9,0.3,15,24,573,12,6,1,0.68,222,3,0
Alireza Jahanbakhsh,"FW,MF",528,Brighton,196,11,4,3.2,21,15,1221,1,20,1,3.24,767,15,5
Filip Krovinovi?,MF,546,West Brom,308,5,37,0.3,40,18,1706,6,17,1,1.32,923,8,0
Xherdan Shaqiri,"FW,MF",556,Liverpool,356,19,25,3,39,10,1243,1,32,3,1.78,457,6,5
Sergio Agüero,"FW,MF",559,Manchester City,143,6,11,1.3,12,7,704,1,16,3,2.74,326,9,1
Manuel Lanzini,"FW,MF",566,West Ham,327,11,25,0.9,20,12,1884,5,20,4,1.91,839,8,0
Dele Alli,MF,620,Tottenham,270,8,17,0.9,27,30,1499,4,22,3,1.74,732,10,1
Jacob Ramsey,MF,626,Aston Villa,188,6,16,0.3,15,17,1233,9,14,1,1.58,551,9,1
Jakub Moder,"DF,MF",647,Brighton,200,3,17,0.2,21,24,1575,14,11,1,1.81,889,9,0
Takumi Minamino,"FW,MF",711,Southampton,186,5,11,0.5,17,13,1229,11,11,1,1.65,598,5,0
Mark Noble,MF,712,West Ham,374,5,41,0.2,25,18,1591,7,7,0,0.13,610,3,3
Érik Lamela,"FW,MF",717,Tottenham,289,8,22,0.9,29,22,2386,1,26,5,2.76,1227,17,0
Dennis Praet,"FW,MF",718,Leicester City,248,7,10,0.8,20,21,1203,3,13,2,1,689,10,2
Nathan Tella,"FW,MF",745,Southampton,107,6,4,0.8,6,21,1191,5,19,2,1.81,645,16,4
Marvelous Nakamba,MF,749,Aston Villa,234,1,16,0,9,34,1011,18,4,0,0.24,356,2,0
Tom Cairney,MF,759,Fulham,551,20,61,1.4,32,6,2737,3,35,2,1.42,1269,12,5
Josh Maja,"FW,MF",810,Fulham,157,8,4,1.1,7,11,621,2,18,0,2.22,215,14,0
James McCarthy,MF,821,Crystal Palace,254,6,26,0.3,24,26,729,12,12,1,0.11,314,3,3
Harry Winks,MF,861,Tottenham,554,5,73,0.3,54,40,2058,12,8,0,0.42,991,4,0
Martin Ødegaard,MF,866,Arsenal,450,21,34,2.1,48,12,2380,5,42,6,1.56,1183,12,1
Steven Alzate,"DF,MF",896,Brighton,399,10,33,0.5,35,26,1978,9,25,1,0.7,1030,8,0
Ryan Fraser,"FW,MF",928,Newcastle Utd,243,25,7,2.1,17,7,1422,3,38,4,1.26,750,4,9
Giovani Lo Celso,MF,945,Tottenham,465,14,44,1.3,58,41,2595,9,30,3,1.43,1456,14,0
Joe Willock,MF,978,Newcastle Utd,180,8,19,0.7,28,66,1547,15,27,3,1.56,957,22,2
Ibrahima Diallo,MF,"1,020",Southampton,500,8,36,0.6,33,46,2083,16,18,1,0.71,1065,11,1
Robbie Brady,MF,"1,052",Burnley,266,7,23,0.9,32,31,1877,24,17,1,1.37,874,15,4
Callum Hudson-Odoi,"FW,MF","1,059",Chelsea,542,31,24,3.1,55,34,3932,8,57,8,1.95,2593,15,11
James Milner,"DF,MF","1,070",Liverpool,776,13,76,1.2,89,42,2919,21,22,1,1.01,1566,6,5
Nemanja Mati?,MF,"1,106",Manchester Utd,882,7,83,0.4,79,42,5297,21,20,3,0.49,3315,15,3
Alexis Mac Allister,"FW,MF","1,115",Brighton,323,15,24,2.4,36,36,1737,5,30,2,2.1,869,15,0
Sander Berge,MF,"1,120",Sheffield Utd,380,12,33,1.2,30,24,3093,19,24,1,0.72,1682,19,2
Karlan Grant,"FW,MF","1,127",West Brom,167,0,5,0,9,17,1288,13,11,1,1.28,446,12,0
Robin Koch,"DF,MF","1,132",Leeds United,648,4,36,0.2,44,42,3121,40,10,2,0.72,1986,2,0
Hélder Costa,"FW,MF","1,156",Leeds United,242,9,7,0.9,16,36,1943,9,21,6,1.25,1213,19,4
Hakim Ziyech,"FW,MF","1,172",Chelsea,548,34,47,3.7,70,20,2552,1,70,7,2.69,1269,18,6
Curtis Jones,MF,"1,179",Liverpool,890,13,97,1.6,66,38,4666,10,37,4,1.45,2420,15,2
Fernandinho,MF,"1,188",Manchester City,878,12,135,0.9,96,57,4035,32,29,3,1.14,2437,10,2
Steven Bergwijn,"FW,MF","1,208",Tottenham,347,14,21,1.3,18,28,2392,5,33,6,1.12,1283,21,0
Ainsley Maitland-Niles,MF,"1,230",West Brom,307,5,18,0.7,34,45,1698,26,18,2,0.73,869,18,1
Grady Diangana,"FW,MF","1,235",West Brom,256,5,15,0.2,26,49,2079,5,20,1,1.02,1351,24,0
Moussa Djenepo,MF,"1,240",Southampton,295,7,17,0.6,24,57,1912,16,31,4,1.02,995,35,2
Jake Livermore,MF,"1,242",West Brom,283,5,29,0.2,25,48,1000,33,8,1,0.36,404,2,1
Jay Rodriguez,"FW,MF","1,265",Burnley,208,8,11,1.7,22,32,1198,6,23,4,2.13,508,15,1
Erik Pieters,"DF,MF","1,266",Burnley,434,6,33,0.5,31,50,1629,42,15,3,0.28,868,6,1
Rodrigo,"FW,MF","1,288",Leeds United,432,28,39,2.4,57,29,2633,16,64,11,3.35,1113,18,4
Ferrán Torres,"FW,MF","1,306",Manchester City,360,18,16,1.9,34,22,2278,6,40,6,2.48,1208,19,2
Okay Yoku?lu,MF,"1,317",West Brom,441,5,27,0.6,42,89,1766,40,11,2,0.82,807,18,0
Ayoze Pérez,"FW,MF","1,331",Leicester City,382,23,26,1.2,54,51,2614,6,48,6,2.1,1592,27,5
Tyler Roberts,"FW,MF","1,340",Leeds United,337,15,25,1.8,43,27,2396,14,36,3,1.75,1232,17,1
Matt Ritchie,"DF,MF","1,350",Newcastle Utd,411,24,27,1.5,37,40,2068,43,40,4,0.73,1156,6,13
Jack Cork,MF,"1,350",Burnley,413,7,39,0.6,26,40,1782,24,18,1,0.33,710,3,0
Jóhann Berg Guðmundsson,MF,"1,363",Burnley,356,10,19,0.5,34,36,2458,14,27,0,1.25,1238,6,5
Saïd Benrahma,"FW,MF","1,391",West Ham,411,27,41,4.4,47,44,3724,10,55,9,2.26,2120,48,6
Willian,"FW,MF","1,406",Arsenal,624,29,34,2.5,49,28,4216,4,60,11,1.28,2262,12,10
Lucas Moura,"FW,MF","1,411",Tottenham,448,16,30,2.3,47,54,3350,11,36,8,1.15,2014,36,3
Sean Longstaff,MF,"1,412",Newcastle Utd,452,11,41,1.1,40,55,1690,21,21,2,0.96,723,4,1
Jesse Lingard,"FW,MF","1,421",West Ham,544,17,58,1.5,65,22,3971,1,61,11,2.53,2523,21,4
Jeff Hendrick,MF,"1,422",Newcastle Utd,429,4,27,0.7,35,18,1634,28,14,2,0.7,654,10,1
Tom Davies,MF,"1,423",Everton,573,7,43,1,47,67,2711,30,21,2,0.44,1348,16,2
Jeffrey Schlupp,MF,"1,428",Crystal Palace,304,17,31,1.7,36,58,1989,15,34,6,1.13,1028,32,2
Emile Smith-Rowe,"FW,MF","1,440",Arsenal,635,24,37,3,42,28,3293,15,43,7,0.81,1820,7,2
Nampalys Mendy,MF,"1,459",Leicester City,882,6,78,0.4,49,44,3597,11,15,2,0.25,1679,6,0
James McArthur,MF,"1,466",Crystal Palace,627,13,63,0.9,60,79,2906,25,19,2,0.37,1392,17,0
Romaine Sawyers,MF,"1,487",West Brom,605,5,57,0.4,53,53,2645,15,13,2,0.24,1105,9,2
Kai Havertz,"FW,MF","1,520",Chelsea,659,17,34,1.6,42,30,3630,15,47,8,2.07,1703,22,2
Ross Barkley,MF,"1,531",Aston Villa,619,39,45,3.6,76,11,3338,8,75,5,2.23,1819,34,0
Thomas Partey,MF,"1,534",Arsenal,966,12,124,1,108,73,4840,25,29,4,1.53,2821,23,0
Alex Iwobi,"FW,MF","1,542",Everton,530,16,35,1.8,73,51,4994,12,46,5,0.88,2997,46,9
Mohamed Elneny,MF,"1,544",Arsenal,937,4,77,0.2,60,36,3937,24,16,0,0.52,1981,7,0
Allan Saint-Maximin,"FW,MF","1,560",Newcastle Utd,348,28,27,3.3,46,24,4416,0,61,10,1.73,2890,83,2
Callum Robinson,"FW,MF","1,560",West Brom,319,14,21,0.8,22,28,2084,9,40,4,1.79,1034,23,7
André Gomes,MF,"1,570",Everton,750,15,82,1,80,63,3914,9,35,2,0.8,1874,26,2
Moussa Sissoko,MF,"1,585",Tottenham,666,5,50,0.5,36,41,3083,32,17,1,0.17,1529,17,2
Adam Lallana,"FW,MF","1,596",Brighton,793,27,58,2.8,83,48,3552,14,48,4,1.24,1916,15,3
Ben Osborn,"DF,MF","1,604",Sheffield Utd,663,19,54,2.1,70,45,3253,16,29,0,0.5,1717,18,11
Séamus Coleman,"DF,MF","1,613",Everton,625,18,32,1.9,43,61,3562,38,33,5,0.67,1731,20,5
Dani Ceballos,MF,"1,615",Arsenal,1112,27,131,2.9,107,64,6937,21,55,5,0.67,3720,26,3
Phil Foden,"FW,MF","1,616",Manchester City,687,34,40,4.1,60,38,3851,12,67,14,2.51,2237,43,2
Theo Walcott,"FW,MF","1,618",Southampton,307,17,19,1.2,27,38,2419,6,28,4,1.67,1550,20,4
Jacob Murphy,"DF,MF","1,626",Newcastle Utd,416,18,26,2.4,44,69,3223,34,37,4,1.61,2032,44,10
Daniel Podence,"FW,MF","1,661",Wolves,478,23,45,1.9,66,33,3275,6,61,7,1.73,1920,37,3
Mario Lemina,MF,"1,703",Fulham,734,10,60,0.8,56,104,4144,37,25,2,0.95,2114,28,1
Jordan Henderson,"DF,MF","1,704",Liverpool,1572,12,206,1.4,145,49,8228,43,33,4,0.74,4457,7,1
Nathan Redmond,"FW,MF","1,738",Southampton,564,29,35,3.3,74,50,4052,11,58,4,2.33,2076,44,5
Christian Pulisic,"FW,MF","1,738",Chelsea,552,26,31,2.8,66,34,4618,9,67,8,2.23,2831,46,2
Marc Albrighton,MF,"1,746",Leicester City,635,39,51,4.4,87,71,3746,26,71,11,1.08,1847,30,16
Oriol Romeu,MF,"1,763",Southampton,1042,14,62,1.1,87,95,4505,19,35,4,0.71,2348,11,1
James Rodríguez,"FW,MF","1,764",Everton,879,43,104,5.4,132,36,4391,1,72,13,1.89,1810,29,7
Mateo Kova?i?,MF,"1,815",Chelsea,1580,23,164,1.8,165,77,8287,13,49,4,1.14,4242,44,0
Jaïro Riedewald,MF,"1,820",Crystal Palace,533,11,46,1,42,57,2399,29,19,0,0.4,1155,12,0
Matt Phillips,"FW,MF","1,828",West Brom,393,27,21,3.1,42,40,3100,23,44,2,1.08,1757,28,14
Thiago Alcántara,MF,"1,854",Liverpool,1498,29,207,2.3,184,110,5921,21,61,2,1.07,3222,28,1
